[22:44:55] [INFO] received Windows console close event; shutting log-core down
[22:51:15] [INFO] received Windows console close event; shutting log-core down
[23:01:15] [INFO] received Windows console close event; shutting log-core down
[23:01:44] [INFO] received Windows console close event; shutting log-core down
[23:04:53] [INFO] received Windows console close event; shutting log-core down
[23:06:40] [INFO] received Windows console close event; shutting log-core down
[23:16:28] [INFO] received Windows console close event; shutting log-core down
[23:24:37] [INFO] received Windows console close event; shutting log-core down
[23:26:59] [INFO] received Windows console close event; shutting log-core down
[23:29:12] [INFO] received Windows console close event; shutting log-core down
[23:30:15] [INFO] received Windows console close event; shutting log-core down
[23:35:56] [INFO] received Windows console close event; shutting log-core down
[23:39:04] [INFO] received Windows console close event; shutting log-core down
[23:41:30] [INFO] received Windows console close event; shutting log-core down
[23:42:03] [INFO] received Windows console close event; shutting log-core down
[23:42:33] [INFO] received Windows console close event; shutting log-core down
[23:45:21] [INFO] received Windows console close event; shutting log-core down
[23:46:28] [INFO] received Windows console close event; shutting log-core down
[23:49:50] [INFO] received Windows console close event; shutting log-core down
[23:51:39] [INFO] received Windows console close event; shutting log-core down
[23:53:33] [INFO] received Windows console close event; shutting log-core down
[23:57:09] [INFO] received Windows console close event; shutting log-core down
[23:59:35] [INFO] received Windows console close event; shutting log-core down
[00:06:13] [INFO] received Windows console close event; shutting log-core down
[00:16:51] [INFO] received Windows console close event; shutting log-core down
[00:30:45] [INFO] received Windows console close event; shutting log-core down
[00:33:55] [INFO] received Windows console close event; shutting log-core down
[00:35:39] [INFO] received Windows console close event; shutting log-core down
[11:29:41] [INFO] received Windows console close event; shutting log-core down
[11:29:52] [INFO] received Windows console close event; shutting log-core down
[11:39:27] [INFO] received Windows console close event; shutting log-core down
[11:42:11] [INFO] received Windows console close event; shutting log-core down
[11:42:29] [INFO] received Windows console close event; shutting log-core down
[11:47:39] [INFO] received Windows console close event; shutting log-core down
[11:58:48] [INFO] received Windows console close event; shutting log-core down
[12:32:20] [INFO] received Windows console close event; shutting log-core down
[14:08:35] [INFO] received Windows console close event; shutting log-core down
[15:55:50] [INFO] received Windows console close event; shutting log-core down
[15:56:29] [INFO] received Windows console close event; shutting log-core down
